A;008;20010822 12:46;CDIXON;
B;008;210950;80;20010822 12:46;;;48;CARNLEY AVE;NEW LAMBTON;2305;474.2;M;20010324;20010504;217500;A;R;;;FF;;;7599690;
C;008;210950;80;20010822 12:46;29//22304;
D;008;210950;80;20010822 12:46;P;;;;;;
D;008;210950;80;20010822 12:46;V;;;;;;
B;008;211104;81;20010822 12:46;;;10;CARANDOTTA ST;MAYFIELD WEST;2304;434.7;M;20010202;20010316;100000;A;R;;;JF;AC;;7500433;
C;008;211104;81;20010822 12:46;1//996086;
D;008;211104;81;20010822 12:46;P;;;;;;
D;008;211104;81;20010822 12:46;P;;;;;;
D;008;211104;81;20010822 12:46;P;;;;;;
D;008;211104;81;20010822 12:46;V;;;;;;
B;008;211218;82;20010822 12:46;;1;68;CARRINGTON ST;MAYFIELD;2304;;;20010406;20010406;0;;3;NULL;1;;;;7588722;
C;008;211218;82;20010822 12:46;1//SP 49043;
D;008;211218;82;20010822 12:46;P;;;;;;
D;008;211218;82;20010822 12:46;P;;;;;;
B;008;211242;83;20010822 12:46;;;100;CARRINGTON ST;MAYFIELD;2304;;;20010119;20010223;155500;A;R;;;JD;;;7581167;
C;008;211242;83;20010822 12:46;11//202047;
D;008;211242;83;20010822 12:46;P;;;;;;
D;008;211242;83;20010822 12:46;P;;;;;;
